,Stone ID,Carat,Base Rate,Base Off %,Amount,Rap $/CT,D/R,Total Depth,Table,Girdle%,C.A,P.A,C.H,P.H,LowHalf,StarLenth
0,3448820063,4.22,18220.7,-40.26,76891.35,30500,10.3,62.8,57,4.0,34.0,41.6,14.5,44.0,75,50
1,9213560529,4.01,10316.0,-48.41,41367.16,20000,10.13,62.2,59,4.0,33.5,41.6,14.0,44.5,75,50
2,1448350281,4.04,10332.0,-42.6,41741.28,18000,10.12,62.5,58,4.0,36.0,40.8,15.5,43.0,75,50
3,1214950060,4.51,12051.0,-33.05,54350.01,18000,10.53,62.6,55,4.0,35.0,40.8,15.5,43.0,80,50
4,5211600085,4.51,8269.2,-54.05,37294.09,18000,10.73,59.2,62,3.5,33.0,41.0,12.5,43.5,75,50
5,1214270181,3.01,20949.6,-25.18,63058.29,28000,9.18,62.5,57,4.0,35.5,40.8,15.0,43.0,80,50
6,1214510211,3.01,20109.6,-28.18,60529.89,28000,9.13,62.8,57,4.0,36.0,40.6,15.5,43.0,80,45
7,4212970034,3.01,13949.6,-50.18,41988.29,28000,9.14,62.7,58,4.0,36.0,40.8,15.5,43.0,75,50
8,6212860076,3.01,18838.4,-32.71,56703.58,28000,9.28,61.3,59,4.0,32.0,41.6,13.0,44.5,80,50
9,8214270328,3.01,21056.0,-24.8,63378.56,28000,9.15,62.7,57,4.0,36.0,40.6,16.0,43.0,80,50
10,9214450109,3.07,19614.0,-29.95,60214.98,28000,9.36,60.6,60,4.0,32.5,41.2,13.0,43.5,75,50
11,1213180150,3.1,16492.0,-41.1,51125.2,28000,9.41,60.3,59,4.0,32.5,41.0,13.0,43.0,75,50
12,9214510149,3.18,21047.6,-24.83,66931.36,28000,9.34,62.2,59,4.0,36.0,40.8,15.0,43.0,75,50
13,9448430019,3.19,16696.4,-40.37,53261.51,28000,9.36,62.7,58,4.0,34.0,41.6,14.5,44.5,75,50
